pl_name,hostname,sy_snum,sy_pnum,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
HN Lib b,HN Lib,1,1,2023,Calar Alto Observatory,36.116,0.027,-0.029,0,0.1417,0.0023,-0.0023,0,2.2,,,0,5.46,0.75,-0.75,0,Msini,3347,50,-50,0,0.3,0.01,-0.01,0,0.29,0.01,-0.01,0,[Fe/H],4.76,0.13,-0.13,0,14h34m16.44s,218.5684823,-12d31m01.22s,-12.5170062,6.24442,0.004455,-0.004455
GJ 896 A b,GJ 896 A,2,1,2022,Very Long Baseline Array,284.39,1.47,-1.47,0,0.63965,0.00067,-0.00067,0,13.3,,,0,718.2922,181.16219,-181.16219,0,Mass,3345,157,-157,0,0.39,0.01,-0.01,0,0.44,0,0,0,,4.83,0,0,0,23h31m52.81s,352.9700384,+19d56m13.20s,19.9370011,6.26022,0.003265,-0.003265
GJ 581 b,GJ 581,1,3,2005,La Silla Observatory,5.3686,0.0001,-0.0001,0,0.04061,0.00003,-0.00003,0,4.11,,,0,15.8,0.3,-0.3,0,Msini,3396,157,-157,0,0.33,0.01,-0.01,0,0.31,0.02,-0.02,0,[Fe/H],4.89,0,0,0,15h19m25.55s,229.8564725,-07d43m21.70s,-7.7226935,6.2981,0.002095,-0.002095
GJ 581 c,GJ 581,1,3,2007,La Silla Observatory,12.914,0.002,-0.002,0,0.0721,0.0003,-0.0003,0,2.21,,,0,5.5,0.3,-0.3,0,Msini,3396,157,-157,0,0.33,0.01,-0.01,0,0.31,0.02,-0.02,0,[Fe/H],4.89,0,0,0,15h19m25.55s,229.8564725,-07d43m21.70s,-7.7226935,6.2981,0.002095,-0.002095
GJ 581 e,GJ 581,1,3,2009,La Silla Observatory,3.149,0.0002,-0.0002,0,0.02815,0.00006,-0.00006,0,1.17,,,0,1.7,0.2,-0.2,0,Msini,3396,157,-157,0,0.33,0.01,-0.01,0,0.31,0.02,-0.02,0,[Fe/H],4.89,0,0,0,15h19m25.55s,229.8564725,-07d43m21.70s,-7.7226935,6.2981,0.002095,-0.002095
GJ 338 B b,GJ 338 B,2,1,2020,Calar Alto Observatory,24.422,0.014,-0.014,0,0.142,0.005,-0.005,0,3.25,,,0,10.6,1.2,-1.2,0,Msini,4014,100,-100,0,0.58,0.03,-0.03,0,0.64,0.07,-0.07,0,[Fe/H],4.68,0.07,-0.07,0,09h14m22.00s,138.5916722,+52d41m00.68s,52.6835211,6.33256,0.00167,-0.00168
GJ 625 b,GJ 625,1,1,2017,Multiple Observatories,14.628,0.012,-0.013,0,0.078361,0.000044,-0.000046,0,1.49,,,0,2.82,0.51,-0.51,0,Msini,3499,68,-68,0,0.31,0.06,-0.06,0,0.3,0.07,-0.07,0,[Fe/H],4.94,0.06,-0.06,0,16h25m25.39s,246.3557854,+54d18m12.10s,54.3033625,6.47249,0.001155,-0.001155
HD 219134 b,HD 219134,1,6,2015,Roque de los Muchachos Observatory,3.092926,0.00001,-0.00001,0,0.03876,0.00047,-0.00047,0,1.602,0.055,-0.055,0,4.74,0.19,-0.19,0,Mass,4699,16,-16,0,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0,[Fe/H],4.57,0.02,-0.02,0,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.53127,0.00384,-0.00385
HD 219134 c,HD 219134,1,6,2015,Roque de los Muchachos Observatory,6.76458,0.00033,-0.00033,0,0.0653,0.0008,-0.0008,0,1.511,0.047,-0.047,0,4.36,0.22,-0.22,0,Mass,4699,16,-16,0,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0,[Fe/H],4.57,0.02,-0.02,0,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.53127,0.00384,-0.00385
HD 219134 d,HD 219134,1,6,2015,Roque de los Muchachos Observatory,46.859,0.028,-0.028,0,0.237,0.003,-0.003,0,1.61,0.02,-0.02,-1,16.17,0.64,-0.64,-1,Mass,4699,16,-16,0,0.78,0.01,-0.01,0,0.81,0.03,-0.03,0,[Fe/H],4.57,0.02,-0.02,0,23h13m20.93s,348.3372026,+57d10m10.65s,57.1696255,6.53127,0.00384,-0.00385
